order_id,order_date,customer_id,city,pincode,item_name,category,quantity,unit_price,discount_pct,promo_code,payment_method,order_channel,delivery_time_mins,delivery_status,rider_id,customer_rating,gross_value,discount_amount,order_value
ZP1000051,12-08-2025 13:49,C10837,Kolkata,700001,Potato 1kg,Fruits & Vegetables,1,35,0,NONE,Credit Card,App,28,Delivered,R1379,3,35,0,35
ZP1000052,29-11-2024 12:39,C10759,Ahmedabad,380001,Potato Chips 100g,Snacks,4,40,0,NONE,UPI,App,26,Delivered,R1037,5,160,0,160
ZP1000053,29-04-2025 00:42,C13112,Pune,411001,Coffee 100g,Beverages,1,180,0,NONE,UPI,App,46,Delivered,R1368,5,180,0,180
ZP1000054,25-07-2025 04:52,C10792,Hyderabad,500001,Potato 1kg,Fruits & Vegetables,1,35,10,FEST50,Wallet,App,59,Delivered,R1204,3,35,3.5,31.5
ZP1000055,12-03-2025 13:55,C12940,Pune,411001,Frozen Pizza 400g,Frozen,1,280,0,NONE,UPI,App,20,Delivered,R1270,4,280,0,280
ZP1000056,16-05-2025 05:38,C16942,Mumbai,400001,Curd 500g,Dairy,2,70,15,NEWUSER,UPI,App,43,Delivered,R1228,3,140,21,119
ZP1000057,04-12-2024 05:17,C12817,Bengaluru,560001,Sugar 1kg,Staples,1,45,20,NEWUSER,UPI,App,49,Delivered,R1359,4,45,9,36
ZP1000058,17-01-2025 19:14,C14945,Mumbai,400001,Garbage Bags 30pcs,Household,1,180,0,NONE,Debit Card,App,20,Delivered,R1254,5,180,0,180
ZP1000059,27-01-2025 12:18,C12166,Bengaluru,560001,Bananas 1kg,Fruits & Vegetables,1,60,5,SAVE10,COD,App,23,Delivered,R1176,5,60,3,57
ZP1000060,06-02-2025 08:27,C16611,Delhi,110001,Tea 250g,Beverages,1,200,0,NONE,UPI,Website,15,Delivered,R1135,3,200,0,200
ZP1000061,13-11-2024 13:10,C10355,Bengaluru,560001,Cookies 150g,Snacks,2,90,0,NONE,UPI,App,22,Delivered,R1400,3,180,0,180
ZP1000062,17-03-2025 11:20,C15977,Kolkata,700001,Potato 1kg,Fruits & Vegetables,1,35,0,NONE,Debit Card,App,19,Delivered,R1372,5,35,0,35
ZP1000063,08-10-2025 16:26,C13763,Delhi,110001,Tomato 1kg,Fruits & Vegetables,2,30,0,NONE,Credit Card,App,27,Delivered,R1060,5,60,0,60
ZP1000064,13-05-2025 01:03,C14392,Bengaluru,560001,Detergent 1kg,Household,2,200,20,NEWUSER,UPI,App,14,Delivered,R1043,5,400,80,320
ZP1000065,02-06-2025 17:01,C11022,Hyderabad,500001,Coffee 100g,Beverages,3,180,0,NONE,COD,App,37,Delivered,R1264,3,540,0,540
ZP1000066,23-07-2025 19:33,C17971,Mumbai,400001,Milk 1L,Dairy,1,60,0,NONE,Debit Card,App,40,Delivered,R1150,4,60,0,60
ZP1000067,08-09-2025 06:04,C17555,Kolkata,700001,Tomato 1kg,Fruits & Vegetables,1,30,0,NONE,UPI,App,24,Delivered,R1382,4,30,0,30
ZP1000068,30-08-2025 16:30,C13100,Mumbai,400001,Coffee 100g,Beverages,1,180,0,NONE,UPI,Website,17,Delivered,R1255,3,180,0,180
ZP1000069,20-10-2024 11:04,C10645,Ahmedabad,380001,Potato Chips 100g,Snacks,4,40,0,NONE,UPI,App,32,Delivered,R1202,3,160,0,160
ZP1000070,27-11-2024 21:18,C14522,Kolkata,700001,Coffee 100g,Beverages,3,180,0,NONE,COD,App,33,Delivered,R1085,3,540,0,540
ZP1000071,18-01-2025 22:21,C12401,Bengaluru,560001,Salt 1kg,Staples,1,25,0,NONE,UPI,Website,21,Delivered,R1303,5,25,0,25
ZP1000072,05-05-2025 05:18,C16794,Mumbai,400001,Namkeen 200g,Snacks,3,80,0,NONE,UPI,App,24,Delivered,R1226,5,240,0,240
ZP1000073,19-09-2025 07:05,C15149,Kolkata,700001,Potato 1kg,Fruits & Vegetables,2,35,0,NONE,UPI,App,24,Delivered,R1335,3,70,0,70
ZP1000074,12-07-2025 22:35,C15066,Chennai,600001,Apple 1kg,Fruits & Vegetables,3,150,0,NONE,Credit Card,App,39,Delivered,R1132,4,450,0,450
ZP1000075,29-11-2024 22:26,C17253,Chennai,600001,Cookies 150g,Snacks,1,90,15,NEWUSER,UPI,App,32,Delivered,R1293,4,90,13.5,76.5
ZP1000076,27-10-2024 05:41,C17059,Kolkata,700001,Wheat Flour 5kg,Staples,2,300,0,NONE,Credit Card,App,10,Delayed,R1128,,600,0,600
ZP1000077,21-03-2025 06:25,C12962,Mumbai,400001,Soft Drink 1L,Beverages,3,60,0,NONE,UPI,App,58,Delivered,R1319,5,180,0,180
ZP1000078,23-06-2025 15:59,C14729,Delhi,110001,Apple 1kg,Fruits & Vegetables,1,150,0,NONE,COD,App,24,Delivered,R1229,3,150,0,150
ZP1000079,11-10-2025 03:00,C11575,Mumbai,400001,Coffee 100g,Beverages,4,180,0,FEST50,Debit Card,App,39,Delivered,R1380,4,720,0,720
ZP1000080,02-12-2024 02:49,C15771,Pune,411001,Tomato 1kg,Fruits & Vegetables,1,30,0,NONE,UPI,App,30,Delivered,R1312,3,30,0,30
ZP1000081,27-08-2025 05:03,C10569,Chennai,600001,Namkeen 200g,Snacks,1,80,0,NONE,UPI,Website,23,Delivered,R1047,4,80,0,80
ZP1000082,15-09-2025 02:19,C10375,Bengaluru,560001,Milk 1L,Dairy,2,60,15,SAVE10,UPI,App,41,Delivered,R1207,4,120,18,102
ZP1000083,09-09-2025 20:30,C15417,Mumbai,400001,Apple 1kg,Fruits & Vegetables,1,150,0,NONE,Debit Card,App,51,Delivered,R1368,3,150,0,150
ZP1000084,21-02-2025 03:27,C11866,Bengaluru,560001,Sugar 1kg,Staples,3,45,0,NONE,Debit Card,App,16,Delivered,R1059,5,135,0,135
ZP1000085,10-03-2025 15:29,C16332,Bengaluru,560001,Cookies 150g,Snacks,1,90,0,NONE,COD,App,20,Delayed,R1247,,90,0,90
ZP1000086,06-05-2025 01:59,C12370,Chennai,600001,Paneer 200g,Dairy,1,120,0,NONE,UPI,App,48,Delivered,R1040,3,120,0,120
ZP1000087,01-07-2025 16:09,C10653,Chennai,600001,Rice 5kg,Staples,1,450,0,NONE,UPI,App,54,Delivered,R1395,3,450,0,450
ZP1000088,27-11-2024 05:53,C17006,Pune,411001,Cookies 150g,Snacks,1,90,0,NONE,Credit Card,Website,34,Delivered,R1000,4,90,0,90
ZP1000089,07-09-2025 08:38,C11907,Delhi,110001,Cookies 150g,Snacks,2,90,5,SAVE10,Debit Card,App,46,Delivered,R1091,5,180,9,171
ZP1000090,07-09-2025 16:46,C17098,Mumbai,400001,Potato 1kg,Fruits & Vegetables,1,35,0,NONE,Debit Card,App,24,Delivered,R1358,3,35,0,35
ZP1000091,18-05-2025 16:32,C10827,Chennai,600001,Bananas 1kg,Fruits & Vegetables,1,60,0,NONE,UPI,Website,10,Delivered,R1224,3,60,0,60
ZP1000092,27-05-2025 20:51,C13113,Kolkata,700001,Apple 1kg,Fruits & Vegetables,1,150,0,NONE,Wallet,App,29,Delivered,R1220,5,150,0,150
ZP1000093,12-10-2025 15:48,C12277,Hyderabad,500001,Fruit Juice 1L,Beverages,2,120,0,NONE,UPI,App,47,Delivered,R1330,4,240,0,240
ZP1000094,31-10-2024 07:28,C13714,Kolkata,700001,Tomato 1kg,Fruits & Vegetables,1,30,0,NONE,UPI,App,21,Delivered,R1125,5,30,0,30
ZP1000095,11-07-2025 10:37,C15207,Hyderabad,500001,Potato Chips 100g,Snacks,2,40,5,FEST50,UPI,App,49,Delivered,R1389,5,80,4,76
ZP1000096,21-02-2025 08:37,C16833,Hyderabad,500001,Coffee 100g,Beverages,1,180,0,FEST50,UPI,App,44,Delivered,R1007,3,180,0,180
ZP1000097,27-03-2025 15:30,C12988,Delhi,110001,Namkeen 200g,Snacks,1,80,0,NONE,COD,Website,32,Delivered,R1302,4,80,0,80
ZP1000098,13-03-2025 00:55,C11332,Mumbai,400001,Floor Cleaner 1L,Household,2,110,0,NONE,UPI,App,64,Delivered,R1025,5,220,0,220
ZP1000099,27-03-2025 23:01,C13032,Mumbai,400001,Butter 200g,Dairy,1,180,0,NONE,UPI,App,28,Delivered,R1057,4,180,0,180
ZP1000100,15-08-2025 12:04,C12910,Mumbai,400001,Detergent 1kg,Household,1,200,10,NONE,UPI,Website,14,Delivered,R1390,4,200,20,180
ZP1000101,28-01-2025 09:22,C11716,Chennai,600001,Sugar 1kg,Staples,2,45,5,NEWUSER,UPI,App,26,Delivered,R1399,5,90,4.5,85.5
ZP1000102,06-04-2025 22:38,C15490,Bengaluru,560001,Butter 200g,Dairy,1,180,20,FEST50,Wallet,App,34,Returned,R1322,,180,36,144
ZP1000103,02-12-2024 22:20,C12187,Hyderabad,500001,Milk 1L,Dairy,2,60,0,NONE,COD,App,22,Delivered,R1397,3,120,0,120
ZP1000104,20-12-2024 18:13,C15749,Pune,411001,Bananas 1kg,Fruits & Vegetables,2,60,15,SAVE10,UPI,App,21,Delivered,R1183,4,120,18,102
ZP1000105,21-07-2025 08:57,C17673,Bengaluru,560001,Sugar 1kg,Staples,1,45,0,NONE,UPI,Website,35,Delivered,R1249,3,45,0,45
ZP1000106,14-09-2025 06:20,C15599,Delhi,110001,Garbage Bags 30pcs,Household,1,180,0,NONE,COD,App,40,Delivered,R1115,3,180,0,180
ZP1000107,21-09-2025 15:59,C15308,Kolkata,700001,Soap 75g,Personal Care,1,40,0,NONE,Debit Card,App,33,Returned,R1373,,40,0,40
ZP1000108,14-11-2024 09:11,C10584,Bengaluru,560001,Bananas 1kg,Fruits & Vegetables,3,60,10,NONE,Debit Card,Website,29,Delivered,R1005,3,180,18,162
ZP1000109,06-09-2025 16:38,C14990,Mumbai,400001,Coffee 100g,Beverages,4,180,10,NONE,Credit Card,App,23,Delivered,R1150,4,720,72,648
ZP1000110,19-05-2025 10:43,C15201,Bengaluru,560001,Floor Cleaner 1L,Household,1,110,5,FEST50,Credit Card,App,21,Delivered,R1183,5,110,5.5,104.5
ZP1000111,26-02-2025 19:17,C11401,Mumbai,400001,Shampoo 200ml,Personal Care,1,140,15,FEST50,UPI,App,26,Delivered,R1075,5,140,21,119
ZP1000112,08-06-2025 19:58,C14375,Pune,411001,Potato Chips 100g,Snacks,1,40,0,NONE,Credit Card,App,14,Delivered,R1096,5,40,0,40
ZP1000113,02-03-2025 06:30,C15973,Kolkata,700001,Bananas 1kg,Fruits & Vegetables,1,60,5,FEST50,Credit Card,App,22,Delivered,R1042,3,60,3,57
ZP1000114,23-03-2025 21:12,C12005,Chennai,600001,Cookies 150g,Snacks,1,90,0,NONE,COD,App,33,Delivered,R1301,4,90,0,90
ZP1000115,18-04-2025 11:06,C11338,Pune,411001,Namkeen 200g,Snacks,2,80,0,NONE,UPI,App,16,Delivered,R1051,3,160,0,160
ZP1000116,17-05-2025 10:46,C13786,Kolkata,700001,Curd 500g,Dairy,3,70,0,NONE,UPI,App,10,Delivered,R1102,4,210,0,210
ZP1000117,24-09-2025 15:21,C13108,Bengaluru,560001,Potato Chips 100g,Snacks,4,40,0,NEWUSER,UPI,App,24,Delivered,R1131,4,160,0,160
ZP1000118,19-11-2024 04:01,C12211,Pune,411001,Salt 1kg,Staples,1,25,10,NONE,Credit Card,App,15,Delayed,R1339,,25,2.5,22.5
ZP1000119,31-01-2025 07:57,C17580,Hyderabad,500001,Tea 250g,Beverages,3,200,0,NONE,Debit Card,App,23,Returned,R1107,,600,0,600
ZP1000120,16-02-2025 07:22,C15242,Kolkata,700001,Apple 1kg,Fruits & Vegetables,2,150,0,NONE,UPI,App,40,Cancelled,R1372,,300,0,300
ZP1000121,08-05-2025 16:58,C15637,Pune,411001,Ice Cream 500ml,Frozen,1,220,0,NONE,Debit Card,App,40,Delivered,R1249,3,220,0,220
ZP1000122,07-09-2025 07:33,C14562,Bengaluru,560001,Frozen Pizza 400g,Frozen,1,280,0,NONE,Credit Card,App,29,Delivered,R1160,4,280,0,280
ZP1000123,14-05-2025 10:29,C11799,Mumbai,400001,Chocolate Bar 50g,Snacks,2,50,0,NONE,UPI,App,36,Delivered,R1247,3,100,0,100
ZP1000124,18-08-2025 21:12,C15608,Bengaluru,560001,Bananas 1kg,Fruits & Vegetables,3,60,0,NONE,UPI,App,53,Delivered,R1148,4,180,0,180
ZP1000125,19-03-2025 12:59,C12656,Delhi,110001,Milk 1L,Dairy,1,60,0,NONE,COD,App,26,Delivered,R1209,5,60,0,60
ZP1000126,09-02-2025 14:55,C16904,Kolkata,700001,Potato 1kg,Fruits & Vegetables,1,35,0,NONE,Credit Card,App,18,Delivered,R1250,3,35,0,35
ZP1000127,08-02-2025 01:56,C16294,Pune,411001,Sugar 1kg,Staples,1,45,0,NONE,Debit Card,App,38,Delivered,R1192,4,45,0,45
ZP1000128,18-12-2024 22:06,C16356,Mumbai,400001,Butter 200g,Dairy,4,180,0,NONE,Wallet,App,23,Delivered,R1194,4,720,0,720
ZP1000129,06-12-2024 01:35,C10458,Hyderabad,500001,Apple 1kg,Fruits & Vegetables,4,150,0,NONE,UPI,App,16,Delivered,R1163,3,600,0,600
ZP1000130,07-08-2025 21:43,C11876,Delhi,110001,Butter 200g,Dairy,1,180,5,NEWUSER,UPI,App,27,Delivered,R1153,3,180,9,171
ZP1000131,09-07-2025 22:30,C16732,Bengaluru,560001,Sugar 1kg,Staples,1,45,0,NONE,UPI,App,34,Delivered,R1074,3,45,0,45
ZP1000132,10-10-2025 20:37,C10262,Mumbai,400001,Shampoo 200ml,Personal Care,3,140,10,FEST50,UPI,App,34,Delivered,R1031,3,420,42,378
ZP1000133,30-12-2024 16:45,C16594,Bengaluru,560001,Milk 1L,Dairy,2,60,0,NONE,COD,App,13,Delivered,R1309,4,120,0,120
ZP1000134,22-04-2025 06:48,C12584,Ahmedabad,380001,Wheat Flour 5kg,Staples,4,300,0,NONE,UPI,App,35,Delivered,R1273,3,1200,0,1200
ZP1000135,12-05-2025 17:23,C13286,Bengaluru,560001,Salt 1kg,Staples,3,25,20,FEST50,UPI,App,12,Delivered,R1204,4,75,15,60
ZP1000136,27-05-2025 10:46,C12193,Hyderabad,500001,Paneer 200g,Dairy,1,120,0,NONE,UPI,App,14,Delivered,R1193,3,120,0,120
ZP1000137,20-11-2024 02:31,C10542,Chennai,600001,Rice 5kg,Staples,2,450,0,NONE,Wallet,Website,46,Delivered,R1200,4,900,0,900
ZP1000138,26-01-2025 17:57,C11728,Delhi,110001,Tomato 1kg,Fruits & Vegetables,1,30,15,FEST50,Credit Card,App,10,Delivered,R1145,5,30,4.5,25.5
ZP1000139,27-11-2024 01:41,C17480,Ahmedabad,380001,Curd 500g,Dairy,2,70,0,NONE,Debit Card,App,10,Delivered,R1176,4,140,0,140
ZP1000140,22-01-2025 18:06,C17724,Ahmedabad,380001,Shampoo 200ml,Personal Care,1,140,0,NONE,UPI,App,35,Delivered,R1030,4,140,0,140
ZP1000141,24-03-2025 00:06,C14646,Bengaluru,560001,Salt 1kg,Staples,3,25,0,NONE,UPI,App,22,Delivered,R1224,3,75,0,75
ZP1000142,02-09-2025 22:50,C17179,Hyderabad,500001,Chocolate Bar 50g,Snacks,4,50,0,NONE,COD,Website,25,Delivered,R1018,4,200,0,200
ZP1000143,28-01-2025 02:15,C15881,Bengaluru,560001,Potato 1kg,Fruits & Vegetables,1,35,0,NONE,Credit Card,App,47,Delivered,R1253,4,35,0,35
ZP1000144,14-09-2025 18:10,C12577,Bengaluru,560001,Tomato 1kg,Fruits & Vegetables,1,30,0,NONE,UPI,App,42,Returned,R1100,,30,0,30
ZP1000145,10-10-2025 17:07,C11741,Mumbai,400001,Potato 1kg,Fruits & Vegetables,1,35,0,NONE,Credit Card,Website,41,Delivered,R1058,5,35,0,35
ZP1000146,16-07-2025 19:34,C15369,Hyderabad,500001,Garbage Bags 30pcs,Household,2,180,5,NEWUSER,UPI,App,30,Delivered,R1262,3,360,18,342
ZP1000147,17-09-2025 05:56,C14089,Hyderabad,500001,Curd 500g,Dairy,2,70,15,SAVE10,UPI,App,36,Delivered,R1032,4,140,21,119
ZP1000148,15-06-2025 01:08,C13241,Mumbai,400001,Cookies 150g,Snacks,4,90,0,NONE,Credit Card,App,24,Delivered,R1156,4,360,0,360
ZP1000149,05-12-2024 06:22,C17247,Bengaluru,560001,Garbage Bags 30pcs,Household,1,180,0,NONE,UPI,App,22,Returned,R1137,,180,0,180
ZP1000150,29-12-2024 07:08,C17491,Pune,411001,Salt 1kg,Staples,1,25,15,SAVE10,COD,App,29,Delivered,R1369,5,25,3.75,21.25
ZP1000151,16-08-2025 22:59,C15266,Bengaluru,560001,Salt 1kg,Staples,1,25,0,NONE,Credit Card,App,37,Returned,R1083,,25,0,25
ZP1000152,17-07-2025 07:48,C13758,Mumbai,400001,Butter 200g,Dairy,1,180,0,NONE,COD,App,48,Delivered,R1036,3,180,0,180
ZP1000153,24-10-2024 18:46,C11170,Delhi,110001,Tomato 1kg,Fruits & Vegetables,1,30,0,NONE,UPI,App,42,Delivered,R1013,3,30,0,30
ZP1000154,09-09-2025 05:27,C12169,Ahmedabad,380001,Butter 200g,Dairy,3,180,5,SAVE10,Credit Card,App,38,Delivered,R1081,5,540,27,513
ZP1000155,30-09-2025 03:32,C11143,Bengaluru,560001,Curd 500g,Dairy,1,70,0,NONE,Debit Card,App,28,Delivered,R1344,3,70,0,70
ZP1000156,29-04-2025 20:05,C12020,Chennai,600001,Tea 250g,Beverages,2,200,0,NEWUSER,Credit Card,App,26,Returned,R1000,,400,0,400
ZP1000157,02-08-2025 10:21,C16102,Kolkata,700001,Tomato 1kg,Fruits & Vegetables,1,30,0,FEST50,Credit Card,App,32,Delivered,R1301,3,30,0,30
ZP1000158,17-10-2024 05:34,C14598,Bengaluru,560001,Butter 200g,Dairy,1,180,0,NONE,Credit Card,App,32,Delivered,R1376,3,180,0,180
ZP1000159,14-08-2025 15:55,C14415,Chennai,600001,Milk 1L,Dairy,1,60,20,SAVE10,UPI,App,17,Returned,R1019,,60,12,48
ZP1000160,24-10-2024 04:59,C12152,Delhi,110001,Potato 1kg,Fruits & Vegetables,1,35,0,NONE,COD,Website,25,Delivered,R1322,5,35,0,35
ZP1000161,27-12-2024 22:42,C16119,Chennai,600001,Floor Cleaner 1L,Household,3,110,0,NONE,UPI,App,30,Delivered,R1046,4,330,0,330
ZP1000162,23-09-2025 13:24,C14788,Chennai,600001,Bananas 1kg,Fruits & Vegetables,1,60,0,NONE,COD,App,37,Delivered,R1202,5,60,0,60
ZP1000163,11-05-2025 06:35,C13509,Hyderabad,500001,Apple 1kg,Fruits & Vegetables,1,150,15,FEST50,COD,App,29,Delivered,R1242,4,150,22.5,127.5
ZP1000164,09-07-2025 00:17,C17354,Mumbai,400001,Coffee 100g,Beverages,2,180,15,NONE,Debit Card,App,53,Delivered,R1147,4,360,54,306
ZP1000165,22-04-2025 22:13,C14780,Pune,411001,Milk 1L,Dairy,4,60,0,NONE,COD,App,22,Delivered,R1156,3,240,0,240
ZP1000166,14-08-2025 03:04,C13271,Bengaluru,560001,Fruit Juice 1L,Beverages,1,120,0,NONE,Credit Card,App,32,Delivered,R1107,4,120,0,120
